problem,category,source,submission_id,date,language,result,time_seconds,memory_kb,dmoj_url
wc16fs3,Other,solutions/Other/wc16fs3.cpp,5469954,2023-04-12T22:32:50+00:00,CPP14,AC,0.10492391,4088.0,https://dmoj.ca/problem/wc16fs3
wc17fs1,Other,solutions/Other/wc17fs1.cpp,5434147,2023-03-26T14:01:06+00:00,CPP14,AC,0.127380246,4316.0,https://dmoj.ca/problem/wc17fs1
wc18c1s2,Other,solutions/Other/wc18c1s2.cpp,5458704,2023-04-07T18:56:08+00:00,CPP14,AC,0.074729507,3444.0,https://dmoj.ca/problem/wc18c1s2
wc18c3j1,Other,solutions/Other/wc18c3j1.cpp,5326090,2023-02-13T12:38:14+00:00,CPP14,AC,0.024705135,3464.0,https://dmoj.ca/problem/wc18c3j1
wc99sp6,Other,solutions/Other/wc99sp6.cpp,5557913,2023-05-24T21:35:23+00:00,CPP14,AC,0.281763768,4032.0,https://dmoj.ca/problem/wc99sp6
wossoly23j1,Other,solutions/Other/wossoly23j1.cpp,6087960,2024-01-19T12:45:59+00:00,CPP14,AC,0.166454657,3420.0,https://dmoj.ca/problem/wossoly23j1
wossoly23j2,Other,solutions/Other/wossoly23j2.cpp,6088468,2024-01-19T16:58:07+00:00,CPP14,AC,0.084820081,3512.0,https://dmoj.ca/problem/wossoly23j2
xor,Other,solutions/Other/xor.cpp,4830793,2022-09-11T20:02:46+00:00,CPP14,AC,0.004348828,3496.0,https://dmoj.ca/problem/xor
xors,Other,solutions/Other/xors.cpp,5482074,2023-04-18T19:09:59+00:00,CPP14,AC,0.384972266,3504.0,https://dmoj.ca/problem/xors
yac2p1,Other,solutions/Other/yac2p1.c,6441088,2024-06-13T23:25:25+00:00,C,AC,0.067920312,1704.0,https://dmoj.ca/problem/yac2p1
yac5p1,Other,solutions/Other/yac5p1.cpp,4964688,2022-10-23T20:56:45+00:00,CPP14,AC,0.33285668,12184.0,https://dmoj.ca/problem/yac5p1
yac6p1,Other,solutions/Other/yac6p1.cpp,5153137,2022-12-25T19:54:01+00:00,CPP14,AC,0.103446884,3468.0,https://dmoj.ca/problem/yac6p1
yac6p2,Other,solutions/Other/yac6p2.java,5158030,2022-12-27T03:41:30+00:00,JAVA,AC,16.165513958,262008.0,https://dmoj.ca/problem/yac6p2
yac7p1,Other,solutions/Other/yac7p1.java,5712853,2023-08-16T04:27:54+00:00,JAVA,AC,5.444949124,108892.0,https://dmoj.ca/problem/yac7p1
yac9p1,Other,solutions/Other/yac9p1.cpp,6900762,2025-01-19T17:31:31+00:00,CPP17,AC,0.34681022400000006,5692.0,https://dmoj.ca/problem/yac9p1
year2018p2,Other,solutions/Other/year2018p2.cpp,5404250,2023-03-11T20:17:02+00:00,CPP14,AC,0.23243909,3480.0,https://dmoj.ca/problem/year2018p2
year2018p3,Other,solutions/Other/year2018p3.cpp,5504368,2023-04-27T19:51:21+00:00,CPP14,AC,0.602054244,4940.0,https://dmoj.ca/problem/year2018p3
year2019p1,Other,solutions/Other/year2019p1.c,6342633,2024-04-14T18:40:49+00:00,C,AC,0.12040298,1824.0,https://dmoj.ca/problem/year2019p1
year2019p2,Other,solutions/Other/year2019p2.cpp,5431912,2023-03-25T02:49:21+00:00,CPP14,AC,2.742319725,15876.0,https://dmoj.ca/problem/year2019p2
